Message,Category
Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..,ham
The evo. I just had to download flash. Jealous?,ham
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,ham
Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,ham
It took Mr owl 3 licks,ham
Oops. 4 got that bit.,ham
You are right. Meanwhile how's project twins comin up,ham
Only saturday and sunday holiday so its very difficult:),ham
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham
I know that my friend already told that.,ham
No my mum went 2 dentist.,ham
Hey you around? I've got enough for a half + the ten I owe you,ham
I will once i get home,ham
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",ham
Hey are we going for the lo lesson or gym? ,ham
Not a drop in the tank,ham
Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's,spam
Wife.how she knew the time of murder exactly,ham
No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,ham
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam
Enter OTP 893887 to proceed with your transaction.,OTP
"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",ham
IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
Jus finish blowing my hair. U finish dinner already?,ham
K..k:)where are you?how did you performed?,ham
How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,ham
Was the farm open?,ham
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,ham
"Your account password has been reset. If not you, contact support.",Fraud
Enter OTP 274745 to proceed with your transaction.,OTP
Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,ham
Your OTP is 211317 and is valid for 10 minutes.,OTP
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
This is a suspicious login attempt. Was this you?,Fraud
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham
"Your account password has been reset. If not you, contact support.",Fraud
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham
Ok...,ham
I wont. So wat's wit the guys,ham
You will go to walmart. I.ll stay.,ham
"We are hoping to get away by 7, from Langport. You still up for town tonight?",ham
I come n pick Ì_ up... Come out immediately aft ur lesson...,ham
Fine i miss you very much.,ham
When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,ham
5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
I don't think he has spatula hands!,ham
Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,ham
Well good morning mr . Hows london treatin' ya treacle?,ham
Unusual activity detected in your account. Verify immediately.,Fraud
Ok i thk i got it. Then u wan me 2 come now or wat?,ham
"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",ham
You made my day. Do have a great day too.,ham
Doing project w frens lor. ,ham
"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",ham
"K, if u bored up just come to my home..",ham
Most of the tiime when i don't let you hug me it's so i don't break into tears.,ham
Dear i am not denying your words please,ham
I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
Ok...,ham
Enter OTP 957288 to proceed with your transaction.,OTP
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,spam
I wont get concentration dear you know you are my mind and everything :-),ham
"Your account password has been reset. If not you, contact support.",Fraud
Lol no. U can trust me.,ham
"It's fine, imma get a drink or somethin. Want me to come find you?",ham
This is a suspicious login attempt. Was this you?,Fraud
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),spam
"Sorry, I'll call later",ham
I tot it's my group mate... Lucky i havent reply... Wat time do Ì_ need to leave... ,ham
Dunno lei... I thk mum lazy to go out... I neva ask her yet...,ham
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham
HELLO PEACH! MY CAKE TASTS LUSH!,ham
"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",ham
Hmm .. Bits and pieces lol ... *sighs* ...,ham
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,ham
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
Come to mahal bus stop.. &lt;DECIMAL&gt;,ham
Unusual activity detected in your account. Verify immediately.,Fraud
"Nope. Since ayo travelled, he has forgotten his guy",ham
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",ham
Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,spam
Lol your always so convincing.,ham
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,ham
Am i that much bad to avoid like this?,ham
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,ham
Oh :-)only 4 outside players allowed to play know,ham
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",ham
I want snow. It's just freezing and windy.,ham
"I dont knw pa, i just drink milk..",ham
Tell them u have a headache and just want to use 1 hour of sick time.,ham
Ok lor...,ham
Track your shipment here: [tracking_link].,Logistic
Din i tell u jus now 420,ham
Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar,ham
Okie.. Thanx..,ham
Enter OTP 277062 to proceed with your transaction.,OTP
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam
Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,spam
"Your account password has been reset. If not you, contact support.",Fraud
Genius what's up. How your brother. Pls send his number to my skype.,ham
Your OTP is 903204. Do not share it with anyone.,OTP
"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",ham
U 2.,ham
Enter OTP 633394 to proceed with your transaction.,OTP
I'm really not up to it still tonight babe,ham
It vl bcum more difficult..,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,spam
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,ham
Not from this campus. Are you in the library?,ham
Thanks. It was only from tescos but quite nice. All gone now. Speak soon ,ham
What happen dear tell me,ham
I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,ham
Have you always been saying welp?,ham
Wat Ì_ doing now?,ham
Its sarcasm.. .nt scarcasim,ham
We are both fine. Thanks,ham
FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam
How much it will cost approx . Per month.,ham
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham
Your OTP is 127725 and is valid for 10 minutes.,OTP
Or Ì_ go buy wif him then i meet Ì_ later can?,ham
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham
Enter OTP 351460 to proceed with your transaction.,OTP
Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,spam
Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL,spam
Good night my dear.. Sleepwell&amp;Take care,ham
No one interested. May be some business plan.,ham
Ok...,ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",ham
That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,ham
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",ham
"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",ham
I cant pick the phone right now. Pls send a message,ham
Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,spam
What you doing?how are you?,ham
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you,ham
I am sorry it hurt you.,ham
Aiyar sorry lor forgot 2 tell u...,ham
Aaooooright are you at work?,ham
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham
Enter OTP 893345 to proceed with your transaction.,OTP
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",ham
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,spam
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",spam
I re-met alex nichols from middle school and it turns out he's dealing!,ham
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",ham
O i played smash bros  &lt;#&gt;  religiously.,ham
Re your call; You didn't see my facebook huh?,ham
I think it's all still in my car,ham
* Am on a train back from northampton so i'm afraid not!,ham
2 and half years i missed your friendship:-),ham
Pls send me your address sir.,ham
I hope your pee burns tonite.,ham
U guys never invite me anywhere :(,ham
Ok how you dear. Did you call chechi,ham
Nt yet chikku..simple habba..hw abt u?,ham
Your order #2346 has been dispatched.,Logistic
That sucks. I'll go over so u can do my hair. You'll do it free right?,ham
What???? Hello wats talks email address?,ham
"Your account password has been reset. If not you, contact support.",Fraud
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,ham
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
That depends. How would you like to be treated? :),ham
Then she buying today? ÌÏ no need to c meh...,ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
Jordan got voted out last nite!,ham
No screaming means shouting..,ham
Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,ham
"Your account password has been reset. If not you, contact support.",Fraud
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
My drive can only be read. I need to write,ham
"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",ham
Your order #4972 has been dispatched.,Logistic
Xy trying smth now. U eat already? We havent...,ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,spam
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham
"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",ham
"Velly good, yes please!",ham
&lt;#&gt;  am I think? Should say on syllabus,ham
Well. Balls. Time to make calls,ham
Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:),ham
Unusual activity detected in your account. Verify immediately.,Fraud
This is a suspicious login attempt. Was this you?,Fraud
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham
Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color,ham
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",ham
Please CALL 08712402902 immediately as there is an urgent message waiting for you.,spam
"Your account password has been reset. If not you, contact support.",Fraud
"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",ham
"Sorry, I'll call later in meeting",ham
We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,spam
Your order #1259 has been dispatched.,Logistic
Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,ham
"If e timing can, then i go w u lor...",ham
"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack",ham
Ard 6 like dat lor.,ham
Near kalainar tv office.thenampet,ham
Ya had just now.onion roast.,ham
Hi..i got the money da:),ham
Your OTP is 543929. Do not share it with anyone.,OTP
"Like  &lt;#&gt; , same question",ham
Your order #9361 has been dispatched.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Hi Harish's rent has been transfred to ur Acnt.,ham
Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,ham
Daddy will take good care of you :),ham
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam
Im just wondering what your doing right now?,ham
Track your shipment here: [tracking_link].,Logistic
I need you to be in my strong arms...,ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
"Your account password has been reset. If not you, contact support.",Fraud
u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),spam
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,ham
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,ham
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
How much u trying to get?,ham
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",ham
Ok i've sent u da latest version of da project.,ham
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham
Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,ham
Your OTP is 266827 and is valid for 10 minutes.,OTP
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,spam
goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,spam
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,ham
"Just arrived, see you in a couple days &lt;3",ham
Your OTP is 536309 and is valid for 10 minutes.,OTP
"Okey dokey, iÛ÷ll be over in a bit just sorting some stuff out.",ham
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",spam
Unusual activity detected in your account. Verify immediately.,Fraud
"Your account password has been reset. If not you, contact support.",Fraud
Unusual activity detected in your account. Verify immediately.,Fraud
Oh... Okie lor...We go on sat... ,ham
Hey gals...U all wanna meet 4 dinner at nÌÂte? ,ham
"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
"K I'm ready,  &lt;#&gt; ?",ham
Ok ok take care. I can understand.,ham
"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",ham
Surly ill give it to you:-) while coming to review.,ham
"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",ham
How's ur paper?,ham
Then why no one talking to me,ham
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,spam
"Your account password has been reset. If not you, contact support.",Fraud
Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.,ham
You do what all you like,ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,ham
So when you gonna get rimac access ,ham
You sure your neighbors didnt pick it up,ham
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",ham
Im done. Just studyn in library,ham
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam
"U so lousy, run already come back then half dead... Hee...",ham
U repeat e instructions again. Wat's e road name of ur house?,ham
Enter OTP 748402 to proceed with your transaction.,OTP
Hmmm:)how many players selected?,ham
When you came to hostel.,ham
Finished class where are you.,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",ham
Thats cool. Where should i cum? On you or in you? :),ham
No prob. I will send to your email.,ham
Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,ham
Dunno y u ask me.,ham
Your order #4751 has been dispatched.,Logistic
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
Ok. I asked for money how far,ham
Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham
No need for the drug anymore.,ham
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,ham
Hows that watch resizing,ham
Dunno lei he neva say...,ham
I've reached home n i bathe liao... U can call me now...,ham
There is a first time for everything :),ham
would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked,ham
"Gud gud..k, chikku tke care.. sleep well gud nyt",ham
"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham
Ya! when are Ì_ taking ure practical lessons? I start in june..  ,ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
You know there is. I shall speak to you in  &lt;#&gt;  minutes then,ham
"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",ham
"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",ham
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ham
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
Wishing you a wonderful week.,ham
None of that's happening til you get here though,ham
"I am real, baby! I want to bring out your inner tigress...",ham
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",ham
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",ham
"Looks like you found something to do other than smoke, great job!",ham
Got meh... When?,ham
These won't do. Have to move on to morphine,ham
"Your account password has been reset. If not you, contact support.",Fraud
Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,ham
Yes there were many sweets,ham
"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",ham
Welp apparently he retired,ham
I asked sen to come chennai and search for job.,ham
Thats cool. I want to please you...,ham
No break time one... How... I come out n get my stuff fr Ì_?,ham
"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
"I av a new number,  . Wil u only use this one,ta.",ham
Track your shipment here: [tracking_link].,Logistic
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,ham
Yupz... I've oredi booked slots 4 my weekends liao... ,ham
Enter OTP 423697 to proceed with your transaction.,OTP
As if i wasn't having enough trouble sleeping.,ham
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,ham
Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,ham
happened here while you were adventuring,ham
Short But Cute: \Be a good person,ham
Your OTP is 567850. Do not share it with anyone.,OTP
Ok...,ham
Excellent! Are you ready to moan and scream in ecstasy?,ham
Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,ham
Much better now thanks lol,ham
No messages on her phone. I'm holding it now,ham
Y so late but i need to go n get da laptop...,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,spam
Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,spam
Ill call you evening ill some ideas.,ham
Hey i've booked the 2 lessons on sun liao...,ham
"Yeah we wouldn't leave for an hour at least, how's 4 sound?",ham
"Just looked it up and addie goes back Monday, sucks to be her",ham
I came hostel. I m going to sleep. Plz call me up before class. Hrishi.,ham
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,ham
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham
Lol no ouch but wish i'd stayed out a bit longer,ham
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham
"What will we do in the shower, baby?",ham
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam
Track your shipment here: [tracking_link].,Logistic
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",ham
Do you think i can move  &lt;#&gt;  in a week,ham
